sample,radio,dataset,selection,profile_at_acquisition,raw_temperature_c,raw_rh_percent,mcu_temperature_c,filtered_mcu_temperature_c,filtered_mcu_basis,reference_temperature_c,reference_rh_percent,reference_basis,reported_temperature_c,reported_rh_percent,th4_replay_temperature_c,th4_replay_rh_percent,usb_reported,curve_range
room-01,Radio B,individual_room_samples,fit,TH3,32.94,34.08,33.25,32.956,firmware_log,25.6,61,next_sample_after_manual_reference,25.2,64.9,,,1,0
room-02,Radio B,individual_room_samples,fit,TH3,32.63,34.11,33.5,33.439,firmware_log,25.5,61,next_sample_after_manual_reference,24.47,65.76,,,1,0
room-03,Radio B,individual_room_samples,fit,TH3,32.53,34.7,33.5,33.495,firmware_log,25.5,61,next_sample_after_manual_reference,24.32,67,,,1,0
room-04,Radio B,individual_room_samples,same_run_holdout,TH3,32.54,34.23,33,32.545,firmware_log,25.5,61,next_sample_after_manual_reference,25.17,64.65,25.600434,60.355389,1,0
room-05,Radio B,individual_room_samples,fit,TH3,32.36,34.5,32.5,32.265,firmware_log,25.5,61,next_sample_after_manual_reference,25.23,64.78,,,1,0
room-06,Radio B,individual_room_samples,fit,TH3,32.33,34.92,32.5,32.199,firmware_log,25.5,61,next_sample_after_manual_reference,25.26,65.46,,,1,0
room-07,Radio B,individual_room_samples,fit,TH3,33.8,35.05,34.5,34.077,firmware_log,25.9,60,next_sample_after_manual_reference,25.08,68.25,,,1,0
room-08,Radio B,individual_room_samples,fit,TH3,33.87,34.88,35,34.764,firmware_log,25.9,60,next_sample_after_manual_reference,24.54,68.91,,,1,0
room-09,Radio B,individual_room_samples,fit,TH3,31.21,36.52,30.5,30.5,unfiltered_mcu_proxy_at_low_endpoint,25.2,64,later_confirmed_reference,25.11,66.91,,,0,
warm-01,Radio B,warm_room_samples,fit,pre_TH3,37.42,32.05,38.5,,not_recorded,24.8,67,paired_manual_reference,,,,,True,
warm-02,Radio B,warm_room_samples,fit,pre_TH3,39.02,29.55,40,,not_recorded,25.1,65,series_reference_assumed_constant,37.46,32.15,,,1,
warm-03,Radio B,warm_room_samples,fit,pre_TH3,39.05,30,40.25,,not_recorded,25.1,65,series_reference_assumed_constant,37.28,33.02,,,1,
warm-04,Radio B,warm_room_samples,fit,pre_TH3,39.07,29.88,40.75,,not_recorded,25.1,65,series_reference_assumed_constant,37.09,33.26,,,1,
pair-A-01,Radio A,paired_warming_series,unused_transition,TH1,32.84,33.02,35,35,reconstructed_from_mcu_samples,25.2,64,series_reference_assumed_constant,27.59,44.62,,,1,
pair-A-02,Radio A,paired_warming_series,unused_transition,TH1,33.45,32.57,35,35,reconstructed_from_mcu_samples,25.2,64,series_reference_assumed_constant,28.16,44.06,,,1,
pair-A-03,Radio A,paired_warming_series,unused_transition,TH1,33.54,32.41,35.5,35.196703,reconstructed_from_mcu_samples,25.2,64,series_reference_assumed_constant,28.22,43.91,,,1,
pair-A-04,Radio A,paired_warming_series,unused_transition,TH1,34,32.17,35.75,35.420924,reconstructed_from_mcu_samples,25.2,64,series_reference_assumed_constant,28.64,43.64,,,1,
pair-A-05,Radio A,paired_warming_series,fit,TH1,34.25,31.87,36.5,35.846705,reconstructed_from_mcu_samples,25.2,64,series_reference_assumed_constant,28.86,43.28,,,1,
pair-A-06,Radio A,paired_warming_series,same_run_holdout,TH1,34.14,32.06,36.5,36.11169,reconstructed_from_mcu_samples,25.2,64,series_reference_assumed_constant,28.72,43.63,25.410247,63.255845,1,
pair-A-07,Radio A,paired_warming_series,fit,TH1,34.15,32.06,36.5,36.268711,reconstructed_from_mcu_samples,25.2,64,series_reference_assumed_constant,28.7,43.7,,,1,
pair-A-08,Radio A,paired_warming_series,same_run_holdout,TH1,34.22,32.07,36.5,36.362104,reconstructed_from_mcu_samples,25.2,64,series_reference_assumed_constant,28.74,43.77,25.194095,63.95538,1,
pair-A-09,Radio A,paired_warming_series,fit,TH1,34.29,32.12,36.75,36.51493,reconstructed_from_mcu_samples,25.2,64,series_reference_assumed_constant,28.79,43.91,,,1,
