radio,elapsed_seconds,raw_temperature_c,raw_rh_percent,mcu_c,filtered_mcu_c,temperature_c,rh_percent,frontlight_gpio,reference_temperature_c,reference_rh_percent,used_for_fit
B,0.0,40.89,21.19,42.5,42.5,26.39,42.71,0,26.9,41,0
B,15.071,40.78,21.41,42.5,42.5,26.28,43.17,0,26.9,41,0
B,30.072,40.91,21.1,42.75,42.598,26.39,42.36,0,26.9,41,0
B,45.069,40.94,21.1,42.75,42.658,26.4,42.27,0,26.9,41,0
B,60.068,41.14,21.2,42.75,42.694,26.59,42.38,0,26.9,41,0
B,75.069,41.1,21.35,42.75,42.716,26.55,42.65,0,26.9,41,0
B,90.066,41.26,20.95,43.0,42.828,26.68,41.66,0,26.9,41,0
A,0.0,42.23,25.94,45.5,45.062,26.51,45.76,0,26.9,41,0
A,15.0,42.28,25.81,45.75,45.332,26.41,44.65,0,26.9,41,0
A,30.0,42.33,26.05,45.5,45.398,26.43,44.84,0,26.9,41,0
A,44.997,42.35,26.08,45.5,45.438,26.43,44.77,0,26.9,41,0
A,60.0,42.53,25.87,45.75,45.561,26.54,43.95,0,26.9,41,0
A,74.995,42.52,25.54,45.75,45.635,26.49,43.16,0,26.9,41,0
