radio,elapsed_seconds,raw_temperature_c,raw_rh_percent,mcu_c,filtered_mcu_c,old_temperature_c,old_rh_percent,frontlight_gpio,reference_temperature_c,reference_rh_percent,used_for_fit
B,0.0,41.38,20.96,42.5,42.407,26.22,43.57,0,26.9,41,0
B,15.001,41.35,21.05,43.0,42.64,26.05,43.58,0,26.9,41,0
B,30.0,41.4,21.12,42.75,42.683,26.07,43.66,0,26.9,41,0
B,44.999,41.44,21.02,43.0,42.808,26.04,43.34,0,26.9,41,0
B,59.998,41.48,20.97,43.0,42.884,26.04,43.17,0,26.9,41,0
B,74.999,41.36,20.76,43.0,42.929,25.89,42.72,0,26.9,41,0
B,89.998,41.47,21.04,43.0,42.957,25.98,43.23,0,26.9,41,0
B,104.996,41.57,20.87,43.25,43.072,26.02,42.75,0,26.9,41,1
B,119.994,41.59,20.82,43.25,43.142,25.99,42.59,0,26.9,41,1
B,134.996,41.52,20.91,43.25,43.185,25.9,42.76,0,26.9,41,1
B,149.991,41.48,20.9,43.0,43.112,25.9,42.81,0,26.9,41,1
B,164.99,41.53,20.98,43.25,43.166,25.92,42.9,0,26.9,41,1
B,179.991,41.65,20.79,43.0,43.101,26.08,42.54,0,26.9,41,1
A,0.0,43.14,25.97,46.5,46.197,29.96,57.96,0,26.9,41,0
A,14.999,43.3,26.25,46.5,46.316,30.12,58.54,0,26.9,41,0
A,29.997,43.29,25.62,46.5,46.388,30.11,57.15,0,26.9,41,0
A,44.997,43.42,25.98,46.5,46.432,30.24,57.91,0,26.9,41,0
A,59.994,43.25,25.95,46.5,46.459,30.07,57.88,0,26.9,41,0
A,74.993,43.31,25.67,46.5,46.475,30.13,57.26,0,26.9,41,0
A,89.992,43.34,26.08,46.25,46.387,30.16,58.15,0,26.9,41,1
A,104.991,43.41,25.56,46.5,46.431,30.23,56.96,0,26.9,41,1
A,119.992,43.21,25.91,46.25,46.36,30.03,57.81,0,26.9,41,1
A,134.992,43.29,25.97,46.25,46.317,30.11,57.93,0,26.9,41,1
A,150.44,43.26,25.58,46.25,46.29,30.08,57.07,0,26.9,41,1
A,165.438,43.4,25.89,46.5,46.373,30.22,57.72,0,26.9,41,1
